Skills,Experience
Python,Data Scientist
Machine Learning,Machine Learning Engineer
NLP,NLP Specialist
SQL,Database Administrator
Deep Learning,AI Researcher
Data Analysis,Data Analyst
Java,Software Developer
C++,Systems Engineer
Project Management,Project Manager
Cloud Computing,Cloud Architect
Cybersecurity,Cybersecurity Analyst
DevOps,DevOps Engineer
Big Data,Big Data Engineer
Artificial Intelligence,AI Engineer
R,Statistician
JavaScript,Front End Developer
HTML,CSS Developer
Ruby,Ruby on Rails Developer
PHP,Web Developer
Go,Backend Developer
Swift,iOS Developer
Kotlin,Android Developer
Perl,Perl Developer
Scala,Scala Developer
Rust,Rust Developer
TypeScript,TypeScript Developer
MATLAB,Research Scientist
SAS,SAS Programmer
Hadoop,Hadoop Developer
Spark,Spark Developer
Tableau,Tableau Developer
Power BI,Power BI Developer
Excel,Excel Specialist
VBA,VBA Developer
Shell Scripting,Unix Administrator
Linux,SysAdmin
Windows,Windows Administrator
Networking,Network Engineer
Docker,Containerization Specialist
Kubernetes,Kubernetes Administrator
Terraform,Infrastructure Engineer
Ansible,Automation Engineer
Puppet,Configuration Manager
Chef,Configuration Manager
Jenkins,CI/CD Engineer
Git,Version Control Specialist
Agile,Agile Coach
Scrum,Scrum Master
Kanban,Kanban Coach
Lean,Lean Specialist
Six Sigma,Six Sigma Black Belt
ITIL,ITIL Specialist
COBIT,COBIT Specialist
TOGAF,Enterprise Architect
AWS,AWS Solutions Architect
Azure,Azure Solutions Architect
GCP,GCP Solutions Architect
Salesforce,Salesforce Developer
SAP,SAP Consultant
Oracle,Oracle DBA
MySQL,MySQL DBA
PostgreSQL,PostgreSQL DBA
MongoDB,NoSQL Developer
Cassandra,Cassandra Developer
Redis,Redis Developer
Elasticsearch,Elasticsearch Developer
Solr,Solr Developer
RabbitMQ,Message Broker
Kafka,Stream Processing Engineer
Flume,Data Ingestion Engineer
Logstash,Log Management Engineer
Zookeeper,Distributed Systems Engineer
HBase,HBase Developer
Couchbase,Couchbase Developer
Neo4j,Graph Database Developer
D3.js,Data Visualization Specialist
Three.js,3D Graphics Developer
WebGL,WebGL Developer
Unity,Game Developer
Unreal Engine,Game Developer
Blender,3D Modeler
Maya,3D Animator
Photoshop,Graphic Designer
Illustrator,Graphic Designer
InDesign,Desktop Publisher
After Effects,Motion Graphics Designer
Premiere Pro,Video Editor
Final Cut Pro,Video Editor
Audacity,Audio Engineer
Pro Tools,Audio Engineer
Ableton Live,Music Producer
FL Studio,Music Producer
Logic Pro,Music Producer
Cubase,Music Producer
Reason,Music Producer
Reaper,Audio Engineer
